country,actor,title,content,image,video
Japan,Nqrse,Nqrse,"Nqrse是來自長崎的niconico動畫rapper，參與歌手和VOCALOIDP和協作，各種各樣的企劃參加等。
他的音樂風格以電子舞曲和流行音樂為主，Nqrse在日本的Vocaloid音樂圈子中廣受歡迎，他的音樂作品也在日本和海外廣泛流傳。",https://media.tenor.com/VwdU12MjfqAAAAAC/utaite-nqrse.gif,nqrse.mp4
Japan,Soraru,Soraru,SORARU（日語：そらる）（1988年11月3日－），是日本男性歌手。出生於宮城縣。身高176公分。為音樂組合After the Rain的成員。 Vtuber事務所「 Neo-Porte 」的創立人之一 。個人活動包辦歌唱、作詞、作曲，擅長樂曲的Mix、Mastering。,https://media.tenor.com/9L75WzzY8tsAAAAM/soraru-after-the-rain.gif,soraru.mp4
